id,duration,ip,ex1t,ex2t,A1,A2,A3,A4_1,A4_2,A4_3,A4_4,A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A6,A7,A8,A9,A10,A11,A12_1,A12_2,A12_3,A12_4,B1,B1a,B2,B3,B4,B5,B6,B7_1,B7_2,B7_3,B7_4,B7_5,B7_6,B8_1,B8_2,B8_3,B9,B11_1,B11_2,B11_3,B11_4,B12_1,B12_2,B12_3,B12_4,B12_5,B12_6,B13,B14_1,B14_2,B14_3,B14_4,B14_5,B14_6,B15_1,B15_2,B15_3,B15_4,B16,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
27501,730,Guangxi,1,1,3,1,4,1,1,1,0,1,1,1,1,1,1,0,2,2,3,3,4,4,5,5,4,4,0,0,3,0,0,4,5,1,1,1,1,1,1,2,10,10,5,4,5,5,4,1,1,1,1,1,0,4,0,0,1,2,2,1,4,5,4,5,9,0,1,Guangxi,0,1,4,11,4,1,2
27502,836,Henan,0,0,8,4,3,1,0,0,0,0,0,0,0,0,1,0,2,3,3,3,3,4,4,5,3,4,0,0,3,1,0,4,3,1,1,0,1,1,1,4,6,8,5,4,5,5,3,1,1,0,0,1,0,3,1,0,1,2,1,1,5,4,3,4,8,0,2,Henan,1,2,5,4,6,1,3
27503,755,Chongqing,1,1,4,3,1,0,0,0,1,1,0,1,0,0,0,0,3,2,3,3,3,4,3,2,3,1,0,0,3,1,0,4,1,0,0,0,0,0,1,5,5,1,2,2,2,5,1,0,1,1,0,0,0,2,1,0,1,2,2,3,2,2,1,2,5,0,1,Chongqing,0,1,5,11,4,4,4
27504,300,Shanghai,0,0,6,1,3,0,0,0,1,0,0,0,0,0,1,0,3,4,4,2,3,4,4,3,2,3,0,0,3,1,0,4,2,1,1,0,1,0,1,5,7,4,4,4,2,5,4,1,0,0,0,1,0,2,2,0,1,2,1,2,2,3,3,3,7,0,1,Shanghai,0,1,5,11,2,4,2
27505,614,Beijing,0,1,3,3,1,0,0,0,1,0,0,1,1,0,0,0,2,1,2,2,2,3,4,4,3,4,0,0,3,0,0,4,2,1,1,1,1,1,1,5,6,9,4,3,4,5,4,1,1,0,0,1,0,3,1,2,3,2,3,1,4,4,3,4,7,0,1,Beijing,0,1,4,7,3,1,4
27506,425,Henan,0,0,8,4,4,0,0,0,1,0,0,0,0,0,0,1,2,3,1,3,2,4,4,4,4,4,0,0,3,0,0,4,2,1,1,0,0,0,1,3,7,3,3,3,4,4,4,1,1,0,0,1,0,2,1,0,1,1,1,2,4,3,4,4,7,0,1,Henan,1,1,5,11,5,4,3
27507,328,Hebei,0,1,6,3,1,0,0,0,1,0,0,0,0,0,0,1,3,4,2,2,4,4,4,5,3,3,0,0,3,1,0,4,3,1,1,1,1,1,1,1,4,6,3,4,2,5,4,1,1,1,1,1,0,3,0,1,2,3,1,0,5,3,4,4,6,0,1,Tianjin,0,2,6,2,7,4,4
27508,459,Henan,0,1,8,4,2,0,0,0,1,0,0,0,0,0,1,0,2,2,3,2,3,4,4,5,3,3,0,0,3,0,0,3,5,0,0,0,1,1,1,3,6,9,4,2,3,4,4,1,0,0,1,0,0,2,2,1,3,2,1,2,2,5,4,1,7,1,2,Henan,1,2,5,4,7,1,1
27509,447,Chongqing,1,0,10,1,4,0,0,0,1,0,0,0,0,0,0,1,2,2,2,2,3,3,4,4,2,4,0,0,3,0,0,4,3,1,1,1,1,1,1,4,5,3,4,4,4,4,4,1,0,0,0,1,0,2,1,0,1,2,1,1,4,4,4,4,7,0,1,Chongqing,0,1,5,11,4,1,4
27510,322,Shandong,0,0,9,4,2,1,0,0,0,0,0,0,0,0,0,1,2,3,2,3,4,4,3,2,3,2,0,0,3,1,0,4,1,1,1,0,0,0,1,1,2,3,2,1,1,4,1,0,1,1,0,0,0,2,0,0,0,1,0,2,3,2,2,4,6,1,2,Shandong,1,2,6,2,6,1,3
