id,duration,A1,A2,A3_1,A3_2,A3_3,A3_4,A4_1,A4_2,A4_3,A4_4,A4_5,A4_6,A4_7,A5,A6,A7,A8,A9,A10,A11,A12_1,A12_2,A12_3,A12_4,A12_5,A13_1,A13_2,A13_3,A13_4,A13_5,B1,B1a,B2,B3,B4,B5,B6_1,B6_2,B6_3,B6_4,B6_5,B6_6,B6_7,B6_8,B7_1,B7_2,B8,B10_1,B10_2,B10_3,B10_4,B11_1,B11_2,B11_3,B11_4,B11_5,B11_6,B12,B13_1,B13_2,B13_3,B13_4,B13_5,B13_6,B14_1,B14_2,B14_3,B14_4,B15,B16,B17_1,B17_2,C1,C2_a,C2_d,C3,C4,C5,C6,C7,C8,C9,C10,ex1t,ex2t,ex3t
52385,304,5,1,0,0,0,1,0,0,0,0,0,0,1,3,3,3,1,4,4,1,4,3,3,3,4,3,3,3,3,3,1,2,0,0,0,2,1,1,0,0,0,0,0,0,6,6,3,2,3,4,5,1,0,0,0,1,0,2,1,0,0,2,1,1,2,3,3,3,9,7,3,3,0,Kowloon,Kwun Tong,1,1,3,2,3,5,3,0,1,1,1
52386,658,8,6,0,0,0,1,0,0,0,0,0,0,1,2,2,2,3,4,4,1,4,2,2,2,4,1,1,1,1,1,1,2,2,0,0,3,1,0,0,0,0,0,1,0,6,4,3,2,4,4,5,0,1,1,0,0,0,1,0,0,3,0,1,2,2,1,1,1,10,3,1,1,1,Kowloon,Sham Shui Po,1,2,4,6,3,1,3,1,0,0,0
52387,780,8,5,1,0,0,0,0,0,0,0,0,0,1,3,3,3,2,4,3,4,5,4,3,4,3,4,4,3,3,5,0,0,3,0,0,2,1,0,0,1,0,0,1,1,8,9,4,5,4,4,4,1,0,0,0,1,0,3,0,0,0,2,1,1,5,4,4,4,5,5,4,4,1,Kowloon,Sham Shui Po,1,2,3,2,7,5,4,1,0,0,0
52388,181,8,1,0,0,0,1,0,0,0,0,0,0,1,2,2,2,2,2,2,1,3,3,2,3,3,2,2,2,2,3,1,1,2,0,0,4,0,0,0,0,0,0,1,0,6,5,3,3,3,3,3,1,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,3,6,6,3,3,1,New Territories,Kwai Tsing,1,1,5,2,4,5,4,0,1,1,1
52389,478,9,1,0,0,0,1,0,0,0,0,0,0,1,1,1,2,3,4,4,1,3,1,1,4,3,1,1,1,1,1,0,0,3,0,0,1,1,1,0,0,0,0,1,0,8,7,2,4,2,4,4,0,1,1,0,1,0,3,2,0,0,2,0,1,2,1,1,1,7,7,1,1,1,New Territories,Kwai Tsing,1,1,5,2,6,3,3,0,0,0,1
52390,903,8,2,1,0,0,0,0,0,0,0,0,1,0,2,2,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,1,2,3,0,0,4,0,1,0,0,0,0,1,1,8,8,3,3,3,4,3,1,0,0,0,0,0,5,1,0,0,1,0,1,3,2,3,3,7,7,3,2,0,New Territories,Islands,1,2,5,1,3,5,2,0,1,1,0
52391,425,9,4,0,0,0,1,0,0,0,0,0,0,1,3,3,3,3,3,3,1,3,3,2,2,2,3,3,2,2,3,0,0,4,0,0,4,1,0,1,1,1,0,0,0,8,8,3,3,3,2,2,0,0,1,0,0,0,3,2,2,2,2,2,2,4,4,4,4,8,8,4,4,1,Hong Kong Island,Eastern,1,2,6,6,6,4,4,0,1,0,0
52392,280,8,3,1,0,0,0,0,0,0,0,0,0,1,3,3,3,1,4,4,1,3,1,1,3,4,1,1,1,1,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,10,10,1,1,1,5,5,0,1,1,0,0,0,1,2,0,3,3,2,3,1,1,1,1,10,0,1,1,1,New Territories,Tuen Mun,1,2,5,1,6,1,3,0,0,1,1
52393,298,5,1,0,0,0,1,0,0,0,0,0,0,1,4,2,3,2,3,3,1,3,3,2,3,3,2,2,2,2,2,1,3,2,0,0,2,0,0,1,0,0,1,1,0,7,5,2,4,3,4,4,0,1,0,1,1,0,3,0,2,1,1,0,1,4,3,2,3,3,0,2,3,0,New Territories,North,1,1,5,5,3,5,1,0,1,1,1
52394,361,8,4,0,1,0,0,0,0,0,0,0,0,1,3,2,2,3,4,1,1,3,4,3,3,3,3,4,3,3,3,1,1,3,0,0,6,1,1,1,1,1,1,1,1,8,9,4,2,2,2,3,0,1,0,0,0,0,3,0,0,0,0,1,1,4,3,3,4,8,8,3,3,0,Hong Kong Island,Southern,1,2,3,2,8,5,3,0,0,0,0
